Trip_Distance_km,Time_of_Day,Day_of_Week,Passenger_Count,Traffic_Conditions,Weather,Base_Fare,Per_Km_Rate,Per_Minute_Rate,Trip_Duration_Minutes,Trip_Price,Fare_per_km,Peak_Hour,Is_Weekend,Traffic_Level,Price_Intensity,Congested_Trip,Taxi_Category
19.35,Morning,Weekday,3.0,Low,Clear,3.56,0.8,0.32,53.82,36.2624,1.8740258397932814,1,0,0,1.12,0,Standard
47.59,Afternoon,Weekday,1.0,High,Clear,3.502989473684211,0.62,0.43,40.57,50.453889473684214,1.1950992503826519,0,0,2,1.05,0,Standard
36.87,Evening,Weekend,1.0,High,Clear,2.7,1.21,0.15,37.27,52.9032,1.4348576078112287,1,1,2,1.3599999999999999,0,Standard
30.33,Evening,Weekday,4.0,Low,Clear,3.48,0.51,0.15,116.81,36.4698,1.202433234421365,1,0,0,0.66,1,Standard
27.070546861761322,Evening,Weekday,3.0,High,Clear,2.93,0.63,0.32,22.64,27.229244522909635,0.5769369964986304,1,0,2,0.95,0,Economy
8.64,Afternoon,Weekend,2.0,Medium,Clear,2.55,1.71,0.48,89.33,60.202799999999996,6.9679166666666665,0,1,1,2.19,1,Premium
3.85,Afternoon,Weekday,4.0,High,Rain,3.51,1.66,0.2929157894736842,5.05,11.380224736842106,2.925844155844156,0,0,2,1.9529157894736842,0,Economy
43.44,Evening,Weekend,3.0,Low,Clear,2.97,1.87,0.23,62.11811578947369,98.48996663157895,2.3278453038674036,1,1,0,2.1,0,Premium
30.45,Morning,Weekday,3.0,High,Clear,2.77,1.78,0.34,110.33,94.48320000000001,1.8678086478065816,1,0,2,2.12,1,Premium
35.7,Afternoon,Weekday,2.0,Low,Rain,3.39,1.52,0.47,62.11811578947369,86.84951442105263,2.116686274509804,0,0,0,1.99,0,Premium
27.070546861761322,Morning,Weekday,4.0,Low,Clear,2.4,0.58,0.43,26.34,29.427117179821565,0.5501181810640032,1,0,0,1.01,0,Economy
48.53,Night,Weekday,3.0,Low,Clear,4.78,1.2333157894736844,0.5,79.94,104.6028152631579,1.1719508206410552,0,0,0,1.7333157894736844,0,Luxury
41.79,Night,Weekend,3.0,High,Clear,4.6,1.77,0.11,86.95,88.13279999999999,2.10894472361809,0,1,2,1.8800000000000001,0,Premium
11.4,Morning,Weekday,3.0,Low,Clear,4.12,1.2333157894736844,0.15,84.12,30.797800000000002,3.168245614035088,1,0,0,1.3833157894736843,1,Standard
9.91,Evening,Weekday,2.0,High,Clear,2.32,1.26,0.34,41.72,28.991400000000002,2.9254692230070636,1,0,2,1.6,1,Economy
9.99,Night,Weekday,4.0,High,Clear,4.33,0.85,0.43,34.0,27.441499999999998,2.7468968968968968,0,0,2,1.28,1,Economy
15.91,Morning,Weekday,4.0,Low,Clear,4.42,1.77,0.21,114.93,56.716,3.564802011313639,1,0,0,1.98,1,Standard
26.71,Afternoon,Weekend,4.0,Low,Rain,4.3,1.59,0.2,111.18,69.0049,2.5834855859228756,0,1,0,1.79,1,Premium
22.17,Night,Weekday,4.0,Low,Clear,2.34,1.97,0.41,57.59,69.6268,3.140586377988272,0,0,0,2.38,0,Premium
15.27,Morning,Weekday,2.4768421052631577,Low,Clear,3.93,0.73,0.12,62.11811578947369,22.53127389473684,1.7913752455795677,1,0,0,0.85,1,Economy
30.98,Afternoon,Weekend,1.0,Low,Rain,4.5,0.84,0.25,57.02,44.7782,1.4453905745642348,0,1,0,1.0899999999999999,0,Standard
7.84,Morning,Weekday,4.0,Medium,Clear,3.73,0.82,0.3,53.8,26.298799999999996,3.354438775510204,1,0,1,1.1199999999999999,1,Economy
105.94355003672597,Night,Weekend,2.0,Low,Rain,3.94,1.69,0.32,23.03,190.35419956206687,1.905444070131204,0,1,0,2.01,0,Luxury
18.95,Night,Weekday,1.0,Low,Clear,3.38,0.78,0.39,54.04,39.2366,2.0705329815303433,0,0,0,1.17,0,Standard
23.35,Night,Weekday,3.0,Low,Rain,3.59,0.6,0.24,66.8,33.632000000000005,1.4403426124197003,0,0,0,0.84,0,Standard
39.47,Afternoon,Weekday,1.0,Low,Clear,3.502989473684211,1.2333157894736844,0.35,7.59,54.83846368421053,2.1205092475297693,0,0,0,1.5833157894736845,0,Standard
10.78,Evening,Weekday,3.0,High,Rain,3.92,0.54,0.33,56.07,28.2443,2.620064935064935,1,0,2,0.8700000000000001,1,Economy
138.09832791310237,Evening,Weekend,4.0,Medium,Rain,2.24,1.75,0.32,94.86,274.2672738479292,2.033893572779579,1,1,1,2.07,0,Luxury
30.03,Afternoon,Weekday,1.0,High,Clear,3.31,1.05,0.36,83.21,64.7971,2.1577455877455876,0,0,2,1.4100000000000001,0,Premium
3.28,Evening,Weekday,2.0,Medium,Clear,2.88,1.76,0.2,78.04,24.260800000000003,7.39658536585366,1,0,1,1.96,1,Economy
30.77,Morning,Weekday,1.0,Low,Clear,3.64,1.33,0.13,109.6,58.8121,1.911345466363341,1,0,0,1.46,1,Standard
9.36,Afternoon,Weekday,1.0,Medium,Clear,2.4,1.85,0.15,7.07,20.7765,2.2197115384615382,0,0,1,2.0,0,Economy
4.19,Morning,Weekday,1.0,Low,Clear,4.07,1.89,0.19,69.06,25.110500000000002,13.573931581315131,1,0,0,2.08,1,Economy
47.5,Morning,Weekend,2.4768421052631577,Low,Clear,4.39,0.51,0.3,95.55,57.28,1.2058947368421054,1,1,0,0.81,0,Standard
48.32,Morning,Weekday,2.0,Low,Clear,2.49,0.61,0.44,67.25,61.5552,1.2739072847682118,1,0,0,1.05,0,Premium
40.61,Afternoon,Weekday,1.0,Low,Clear,2.31,0.88,0.38,42.25,54.101800000000004,1.3322285151440532,0,0,0,1.26,0,Standard
15.93,Afternoon,Weekday,2.0,Low,Clear,2.44,1.5,0.42,20.67,35.016400000000004,2.198141870684244,0,0,0,1.92,0,Standard
5.79,Evening,Weekday,4.0,Low,Clear,4.63,1.83,0.24,107.07,40.9225,7.067789291882556,1,0,0,2.0700000000000003,1,Standard
34.53,Morning,Weekday,3.0,Medium,Clear,3.58,1.2333157894736844,0.26,59.14,61.542794210526324,1.7389834926151173,1,0,1,1.4933157894736844,0,Premium
22.57,Afternoon,Weekday,1.0,Low,Clear,3.4,1.41,0.2929157894736842,105.98,66.26691536842105,2.781501993797076,0,0,0,1.7029157894736842,1,Premium
6.98,Afternoon,Weekend,2.0,Low,Clear,2.32,0.78,0.18,72.37,20.791,2.9786532951289395,0,1,0,0.96,1,Economy
25.26,Evening,Weekday,2.0,High,Clear,3.95,1.71,0.12,82.53,57.0482,2.258440221694378,1,0,2,1.83,1,Standard
2.69,Afternoon,Weekday,4.0,Low,Clear,4.6,1.95,0.34,97.49,42.9921,15.982193308550187,0,0,0,2.29,1,Standard
45.56,Afternoon,Weekday,2.4768421052631577,Low,Clear,3.502989473684211,0.9,0.5,80.8,84.9069894736842,1.885074626865672,0,0,0,1.4,0,Premium
13.68,Evening,Weekend,3.0,High,Clear,3.88,1.2333157894736844,0.17,50.78,29.38436,2.1546637426900586,1,1,2,1.4033157894736843,1,Economy
33.46,Afternoon,Weekend,2.0,Low,Rain,2.23,0.63,0.12,64.07,30.9982,0.9264255827854154,0,1,0,0.75,0,Standard
16.27,Morning,Weekday,1.0,Low,Clear,2.34,1.2333157894736844,0.41,97.35,62.319547894736836,3.9370190534726484,1,0,0,1.6433157894736843,1,Premium
26.48,Morning,Weekend,3.0,Medium,Clear,2.15,1.25,0.2,47.97,44.844,1.6935045317220545,1,1,1,1.45,0,Standard
27.79,Evening,Weekday,2.0,Low,Clear,2.77,0.72,0.43,49.63,44.119699999999995,1.5876106513134223,1,0,0,1.15,0,Standard
10.06,Morning,Weekday,2.0,Medium,Rain,2.41,1.16,0.38,16.0,20.159599999999998,2.0039363817097415,1,0,1,1.54,0,Economy
48.51,Evening,Weekday,3.0,High,Rain,3.502989473684211,1.0,0.48,110.18,104.89938947368421,2.1475242218099364,1,0,2,1.48,0,Luxury
38.98,Afternoon,Weekday,3.0,Low,Clear,3.16,1.28,0.26,15.47,57.0766,1.4642534633145203,0,0,0,1.54,0,Standard
47.04,Night,Weekday,4.0,Medium,Clear,4.83,1.38,0.36,79.54,98.3796,2.0914030612244896,0,0,1,1.7399999999999998,0,Premium
44.85,Evening,Weekend,1.0,Medium,Rain,3.83,0.51,0.29,52.52,41.9343,0.934989966555184,1,1,1,0.8,0,Standard
30.3,Night,Weekend,1.0,Low,Clear,4.5,1.64,0.35,51.65,72.2695,2.38513201320132,0,1,0,1.9899999999999998,0,Premium
46.17,Afternoon,Weekday,4.0,Medium,Clear,4.13,1.57,0.28,83.15,99.8989,2.163718865063894,0,0,1,1.85,0,Premium
5.34,Afternoon,Weekday,2.0,Low,Clear,2.34,1.2333157894736844,0.18,12.72,11.215506315789474,1.9169662921348314,0,0,0,1.4133157894736843,0,Economy
10.6,Afternoon,Weekday,3.0,Medium,Clear,4.21,1.2333157894736844,0.3,73.28,39.26714736842105,3.051132075471698,0,0,1,1.5333157894736844,1,Standard
3.22,Afternoon,Weekday,3.0,Low,Rain,2.83,1.63,0.31,93.78,37.1504,11.537391304347825,0,0,0,1.94,1,Standard
16.94,Afternoon,Weekday,3.0,Medium,Snow,3.92,1.93,0.42,100.24,78.715,4.646694214876033,0,0,1,2.35,1,Premium
20.05,Evening,Weekday,2.0,Low,Clear,3.02,0.86,0.39,24.61,29.8609,1.4893216957605986,1,0,0,1.25,0,Economy
14.3,Night,Weekday,3.0,High,Clear,4.99,0.99,0.37,108.2,59.181,4.138531468531468,0,0,2,1.3599999999999999,1,Standard
41.61,Evening,Weekend,3.0,Low,Rain,2.79,0.78,0.15,62.11811578947369,44.56351736842106,1.1371016582552274,1,1,0,0.93,0,Standard
18.48,Afternoon,Weekday,4.0,Medium,Clear,2.84,1.37,0.39,106.41,69.6575,3.769345238095238,0,0,1,1.7600000000000002,1,Premium
146.0670471598387,Afternoon,Weekday,2.0,Medium,Clear,4.79,0.73,0.3,60.81,129.66194442668225,2.197337933634123,0,0,1,1.03,0,Luxury
27.59,Evening,Weekend,1.0,Medium,Rain,2.07,1.03,0.46,67.33,61.459500000000006,2.2276005799202614,1,1,1,1.49,0,Premium
7.91,Morning,Weekday,4.0,Medium,Clear,4.09,1.55,0.47,110.69,68.3748,8.64409608091024,1,0,1,2.02,1,Premium
40.31,Morning,Weekday,4.0,Medium,Clear,4.18,1.34,0.12,108.49,71.2142,1.766663358967998,1,0,1,1.46,0,Premium
4.65,Afternoon,Weekday,1.0,Medium,Clear,4.51,1.08,0.43,56.54,33.8442,7.278322580645161,0,0,1,1.51,1,Standard
49.36,Morning,Weekday,4.0,High,Rain,4.92,1.13,0.12,36.56,65.084,1.3185575364667748,1,0,2,1.25,0,Premium
38.84,Morning,Weekend,2.0,Low,Clear,4.93,1.34,0.25,50.21,69.52810000000001,1.790115859938208,1,1,0,1.59,0,Premium
10.74,Morning,Weekday,3.0,Medium,Clear,2.2,0.51,0.32,49.59,23.546200000000002,2.192383612662942,1,0,1,0.8300000000000001,1,Economy
1.27,Morning,Weekday,2.0,High,Clear,4.47,0.62,0.16,37.99,11.335799999999999,8.925826771653544,1,0,2,0.78,1,Economy
40.96,Morning,Weekend,1.0,High,Clear,3.94,1.82,0.4,35.89,92.8432,2.2666796875,1,1,2,2.22,0,Premium
35.64,Night,Weekend,1.0,High,Rain,3.94,0.62,0.1,104.02,36.4388,1.0224130190796858,0,1,2,0.72,0,Standard
36.72,Afternoon,Weekend,2.4768421052631577,Low,Clear,2.39,1.56,0.17,13.03,61.8883,1.6854112200435731,0,1,0,1.73,0,Premium
38.79,Afternoon,Weekday,2.0,Low,Clear,3.95,1.88,0.33,82.93,104.2421,2.687344676463006,0,0,0,2.21,0,Luxury
4.63,Afternoon,Weekday,2.4768421052631577,Medium,Clear,4.95,0.91,0.39,24.87,18.8626,4.073995680345573,0,0,1,1.3,1,Economy
18.56,Morning,Weekend,1.0,Medium,Snow,4.74,1.2333157894736844,0.47,44.62,48.60174105263158,2.4453125000000004,1,1,1,1.7033157894736843,0,Standard
6.68,Night,Weekend,2.0,Medium,Clear,3.32,1.35,0.38,12.08,16.9284,2.534191616766467,0,1,1,1.73,0,Economy
43.29,Evening,Weekday,1.0,Medium,Rain,2.12,1.82,0.37,36.05,94.2463,2.1770917070917073,1,0,1,2.19,0,Premium
31.54,Morning,Weekday,2.0,High,Clear,3.09,1.91,0.26,93.37,87.6076,2.777666455294864,1,0,2,2.17,0,Premium
17.21,Afternoon,Weekday,2.0,Low,Rain,4.48,1.61,0.1,106.78,42.8661,2.4907669959325975,0,0,0,1.7100000000000002,1,Standard
4.11,Evening,Weekend,2.0,High,Rain,4.1,0.63,0.15,30.48,11.261299999999999,2.7399756690997568,1,1,2,0.78,1,Economy
27.070546861761322,Night,Weekday,1.0,Medium,Clear,3.38,1.5,0.31,58.31,62.061920292641986,1.69247042676917,0,0,1,1.81,0,Premium
16.93,Afternoon,Weekday,4.0,Low,Snow,2.17,1.12,0.37,59.09,42.9949,2.539568812758417,0,0,0,1.4900000000000002,1,Standard
36.75,Afternoon,Weekday,2.0,Medium,Clear,3.28,1.21,0.27,105.46,76.2217,2.0740598639455783,0,0,1,1.48,0,Premium
27.070546861761322,Afternoon,Weekday,1.0,Medium,Clear,3.41,0.57,0.39,92.72,55.00101171120396,2.1406143103024737,0,0,1,0.96,1,Standard
44.47,Night,Weekend,1.0,Low,Clear,4.79,0.79,0.31,64.0,59.761300000000006,1.3438565324938163,0,1,0,1.1,0,Standard
24.14,Morning,Weekday,2.0,Low,Clear,3.92,1.69,0.2929157894736842,82.14,68.77670294736842,2.2947307373653687,1,0,0,1.9829157894736842,1,Premium
6.86,Night,Weekend,2.0,High,Clear,2.93,1.18,0.18,102.45,29.465799999999998,4.29530612244898,0,1,2,1.3599999999999999,1,Economy
35.95,Afternoon,Weekend,4.0,Low,Clear,3.58,0.95,0.44,6.1,40.4165,1.124242002781641,0,1,0,1.39,0,Standard
38.28,Afternoon,Weekday,1.0,Medium,Clear,3.502989473684211,1.08,0.39,51.33,64.86408947368422,1.6604258098223619,0,0,1,1.4700000000000002,0,Premium
28.5,Afternoon,Weekday,1.0,Medium,Clear,4.92,1.78,0.46,109.33,105.9418,3.717256140350877,0,0,1,2.24,1,Luxury
38.78,Morning,Weekday,3.0,Medium,Clear,3.08,1.62,0.15,90.14,79.42460000000001,1.4666006530611244,1,0,1,1.77,0,Premium
27.070546861761322,Morning,Weekend,1.0,Medium,Clear,3.43,0.91,0.5,67.43,61.77919764420281,2.219275447473954,1,1,1,1.4100000000000001,0,Premium
26.61,Morning,Weekday,4.0,Low,Rain,3.07,0.68,0.18,65.91,33.0286,1.2412100714017287,1,0,0,0.8600000000000001,0,Standard
21.95,Morning,Weekday,3.0,Medium,Clear,4.05,0.88,0.1,44.99,27.865000000000002,1.2694760820045559,1,0,1,0.98,0,Economy
2.25,Evening,Weekend,3.0,Low,Clear,3.99,1.88,0.5,62.11811578947369,39.279057894736845,18.066666666666666,1,1,0,2.38,1,Standard
6.29,Afternoon,Weekday,3.0,Low,Clear,4.15,1.37,0.21,80.37,29.645000000000003,4.713036565977743,0,0,0,1.58,1,Economy
2.54,Morning,Weekend,2.4768421052631577,Low,Clear,2.8,1.3,0.37,53.11,25.7527,10.138858267716536,1,1,0,1.67,1,Economy
32.18,Night,Weekday,2.0,Medium,Rain,2.95,1.39,0.17,87.13,62.4923,1.9419608452454942,0,0,1,1.5599999999999998,0,Premium
16.4,Evening,Weekday,1.0,Low,Rain,2.38,1.05,0.33,104.04,53.9332,3.288609756097561,1,0,0,1.3800000000000001,1,Standard
25.92,Night,Weekday,3.0,Low,Clear,3.97,1.71,0.46,22.79,58.7766,2.2676157407407405,0,0,0,2.17,0,Standard
45.47,Night,Weekend,4.0,Low,Rain,2.12,1.28,0.23,56.93,73.4155,1.6145920387068395,0,1,0,1.51,0,Premium
13.22,Morning,Weekday,2.0,Low,Rain,3.79,0.68,0.37,51.92,31.990000000000002,2.4198184568835095,1,0,0,1.05,1,Standard
21.11,Afternoon,Weekend,4.0,High,Rain,4.61,0.69,0.18,84.06,34.3067,1.625139744197063,0,1,2,0.8699999999999999,1,Standard
38.02,Evening,Weekday,4.0,Low,Clear,3.502989473684211,1.31,0.35,33.73,65.11468947368421,1.743337716991057,1,0,0,1.6600000000000001,0,Premium
112.8309582902826,Afternoon,Weekday,2.0,High,Snow,3.35,1.9,0.23,78.63,235.81372075153692,2.0651095119472753,0,0,2,2.13,0,Luxury
4.77,Morning,Weekend,2.0,High,Clear,3.502989473684211,0.96,0.18,105.91,27.145989473684207,11.923432563042015,1,1,2,1.14,1,Economy
102.74755620694734,Evening,Weekday,2.0,Medium,Clear,2.23,1.8,0.23,53.09,199.3863011725052,2.671937873093543,1,0,1,2.0300000000000002,0,Luxury
27.070546861761322,Morning,Weekday,2.0,Low,Clear,4.01,1.65,0.17,109.77,67.33730232190618,1.3799462637663713,1,0,0,1.8199999999999998,1,Premium
46.56,Morning,Weekday,3.0,Low,Clear,4.46,0.87,0.46,119.21,99.8038,2.1435524054982817,1,0,0,1.33,0,Premium
40.6,Afternoon,Weekend,3.0,Medium,Clear,2.73,0.55,0.26,17.2,29.532000000000004,0.7273891625615764,0,1,1,0.81,0,Economy
32.04,Afternoon,Weekday,3.0,Low,Clear,3.26,0.65,0.2,31.8,30.445999999999998,0.9502496878901374,0,0,0,0.8500000000000001,0,Standard
43.7,Afternoon,Weekday,3.0,Low,Clear,4.52,1.59,0.28,114.29,106.0042,2.4257254004576656,0,0,0,1.87,0,Luxury
40.38,Morning,Weekday,1.0,Medium,Rain,3.502989473684211,0.8,0.23,115.21,62.30528947368421,1.5708841010401189,1,0,1,1.03,0,Premium
10.14,Evening,Weekday,3.0,High,Rain,2.73,1.06,0.4,16.24,19.974400000000003,1.9698619329388563,1,0,2,1.46,0,Economy
44.74,Afternoon,Weekday,2.0,Medium,Clear,3.65,1.25,0.49,6.72,62.8678,1.4051810460438086,0,0,1,1.74,0,Premium
27.43,Morning,Weekend,4.0,Low,Rain,2.58,1.59,0.28,23.53,52.7821,1.9242471746263217,1,1,0,1.87,0,Standard
40.56,Evening,Weekend,3.0,Medium,Rain,2.31,0.67,0.44,119.54,82.0828,2.0237376725838265,1,1,1,1.11,0,Premium
44.91,Night,Weekday,1.0,Low,Rain,4.73,1.11,0.33,25.7,63.0611,1.4041661099977736,0,0,0,1.4400000000000002,0,Premium
16.58,Evening,Weekday,2.0,Low,Clear,4.46,1.23,0.16,62.79,34.8998,3.430324084783499,1,0,0,1.39,1,Standard
6.39,Evening,Weekday,4.0,High,Clear,4.28,1.31,0.38,102.57,51.6275,8.07942097026604,1,0,2,1.69,1,Standard
12.17,Afternoon,Weekend,4.0,Low,Rain,2.15,1.73,0.31,7.35,25.482599999999998,2.093886606409203,0,1,0,2.04,0,Economy
21.93,Afternoon,Weekday,3.0,Low,Clear,4.53,0.76,0.2929157894736842,74.52,43.02488463157894,2.189876880984952,0,0,0,1.0529157894736842,1,Standard
41.08,Morning,Weekday,4.0,Low,Clear,3.31,1.71,0.46,36.86,90.5124,2.2033203505355403,1,0,0,2.17,0,Premium
43.18,Afternoon,Weekday,3.0,High,Clear,3.03,1.54,0.2929157894736842,104.17,100.0402377894737,2.285660027790644,0,0,2,1.8329157894736843,0,Luxury
1.34,Afternoon,Weekend,3.0,Medium,Clear,3.64,1.33,0.46,37.6,22.718200000000003,16.953880597014926,0,1,1,1.79,1,Economy
26.03,Morning,Weekday,2.0,Medium,Clear,2.27,1.55,0.4,83.98,76.20850000000002,2.9277180176719173,1,0,1,1.9500000000000002,1,Premium
21.45,Evening,Weekday,2.0,Medium,Clear,4.27,1.12,0.3,82.54,53.056,2.4734731934731933,1,0,1,1.4200000000000002,1,Standard
11.88,Afternoon,Weekday,1.0,Low,Clear,3.75,0.71,0.34,30.47,22.544600000000003,1.8976936026936029,0,0,0,1.05,0,Economy
6.87,Morning,Weekday,2.0,Medium,Rain,2.56,1.5,0.23,9.0,14.935,2.1739446870451236,1,0,1,1.73,0,Economy
17.54,Morning,Weekday,2.0,Low,Rain,2.56,1.29,0.49,52.06,50.696,2.890307867730901,1,0,0,1.78,0,Standard
27.070546861761322,Afternoon,Weekend,3.0,Low,Clear,2.55,1.46,0.37,38.26,56.22919841817153,3.1627805835330407,0,1,0,1.83,0,Standard
16.84,Morning,Weekend,2.0,Medium,Snow,2.17,1.01,0.12,98.03,30.942000000000004,1.837410926365796,1,1,1,1.13,1,Standard
26.42,Evening,Weekday,3.0,High,Clear,3.76,1.86,0.23,97.04,75.22040000000001,2.8471006813020443,1,0,2,2.0900000000000003,1,Premium
27.070546861761322,Afternoon,Weekday,3.0,Low,Clear,4.52,1.38,0.35,57.56,62.02335466923063,2.718341833867634,0,0,0,1.73,0,Premium
18.82,Afternoon,Weekday,2.0,Low,Rain,2.05,0.63,0.12,74.75,22.8766,1.2155472901168969,0,0,0,0.75,1,Economy
48.62,Afternoon,Weekend,1.0,Low,Rain,2.15,1.17,0.11,74.49,67.2293,1.3827498971616619,0,1,0,1.28,0,Premium
48.16,Afternoon,Weekend,1.0,Low,Rain,3.72,1.63,0.28,100.12,110.25439999999999,2.2893355481727578,0,1,0,1.91,0,Luxury
109.61608204688008,Afternoon,Weekday,4.0,High,Clear,4.46,1.69,0.23,53.88,202.10357865922734,2.98512462180104,0,0,2,1.92,0,Luxury
27.070546861761322,Afternoon,Weekend,4.0,Medium,Rain,2.98,1.24,0.28,36.68,46.81787810858404,1.6515809683606457,0,1,1,1.52,0,Standard
15.74,Afternoon,Weekday,2.0,Low,Clear,3.05,1.84,0.21,35.48,39.4624,2.5071410419313853,0,0,0,2.0500000000000003,0,Standard
14.96,Morning,Weekday,1.0,Medium,Rain,3.79,0.9,0.17,66.66,28.5862,1.9108422459893049,1,0,1,1.07,1,Economy
2.81,Evening,Weekend,3.0,Low,Rain,2.82,1.12,0.38,56.65,27.4942,9.7844128113879,1,1,0,1.5,1,Economy
30.87,Evening,Weekday,4.0,Medium,Clear,2.08,1.85,0.31,55.61,76.4286,2.475821185617104,1,0,1,2.16,0,Premium
25.63,Afternoon,Weekday,3.0,Medium,Clear,4.21,1.2333157894736844,0.18,15.48,38.60628368421053,2.1129769801014437,0,0,1,1.4133157894736843,0,Standard
3.52,Evening,Weekday,4.0,Medium,Rain,3.88,1.53,0.23,87.64,29.4228,8.358749999999999,1,0,1,1.76,1,Economy
14.65,Evening,Weekend,2.0,High,Clear,3.74,1.79,0.2929157894736842,29.58,38.62794905263158,2.731788395904437,1,1,2,2.082915789473684,0,Standard
45.51,Evening,Weekday,1.0,Medium,Clear,4.23,0.63,0.13,27.65,36.4958,0.8019292463194904,1,0,1,0.76,0,Standard
12.74,Evening,Weekday,4.0,Low,Rain,4.03,1.8,0.16,52.47,35.357200000000006,2.7752904238618528,1,0,0,1.96,1,Standard
8.1,Afternoon,Weekend,1.0,High,Clear,2.62,0.98,0.13,31.19,14.6127,1.804037037037037,0,1,2,1.1099999999999999,1,Economy
24.98,Afternoon,Weekend,3.0,Low,Rain,3.06,0.77,0.42,72.14,52.5934,2.1054203362690154,0,1,0,1.19,0,Standard
49.3,Afternoon,Weekday,2.0,Low,Clear,2.38,0.86,0.4,47.72,63.866,1.2954563894523328,0,0,0,1.26,0,Premium
12.86,Evening,Weekday,1.0,Low,Clear,2.39,1.13,0.4,56.62,39.5698,3.07696734059098,1,0,0,1.5299999999999998,1,Standard
33.93,Morning,Weekday,2.0,Low,Rain,3.502989473684211,0.88,0.39,66.77,59.401689473684215,1.7662452107279691,1,0,0,1.27,0,Standard
38.32,Evening,Weekday,1.0,Medium,Clear,4.58,0.98,0.37,28.41,52.6453,1.3738335073068892,1,0,1,1.35,0,Standard
12.64,Evening,Weekday,3.0,Medium,Clear,3.502989473684211,0.7,0.29,22.91,18.99488947368421,1.612492088607595,1,0,1,0.99,0,Economy
36.68,Afternoon,Weekend,3.0,High,Rain,3.89,0.94,0.36,106.25,76.6192,2.088854961832061,0,1,2,1.2999999999999998,0,Premium
19.02,Evening,Weekday,2.0,Medium,Clear,2.55,1.36,0.12,54.88,35.0028,1.8403154574132492,1,0,1,1.48,0,Standard
31.98,Morning,Weekday,3.0,Medium,Clear,2.32,1.16,0.35,52.39,57.753299999999996,1.8059193245778613,1,0,1,1.5099999999999998,0,Standard
32.04,Afternoon,Weekday,4.0,Low,Clear,4.44,1.02,0.41,9.1,40.8518,1.2750249687890136,0,0,0,1.43,0,Standard
27.25,Evening,Weekend,1.0,Low,Rain,3.74,1.62,0.3,62.11811578947369,66.5204347368421,2.4427889908256883,1,1,0,1.9200000000000002,0,Premium
5.42,Morning,Weekday,3.0,Medium,Rain,3.85,1.84,0.24,68.73,30.317999999999998,5.593726937269373,1,0,1,2.08,1,Standard
41.93,Evening,Weekend,4.0,Medium,Rain,4.34,1.64,0.21,69.27,87.6519,2.0904340567612687,1,1,1,1.8499999999999999,0,Premium
27.070546861761322,Evening,Weekday,2.0,High,Clear,4.11,1.0,0.36,86.31,62.25214686176132,1.9172719437490917,1,0,2,1.3599999999999999,1,Premium
10.14,Afternoon,Weekday,4.0,Low,Rain,4.5,1.62,0.38,25.41,30.582600000000006,5.6089520045079295,0,0,0,2.0,0,Standard
3.0,Morning,Weekday,2.0,Low,Clear,2.17,0.73,0.45,34.01,19.664499999999997,6.554833333333334,1,0,0,1.18,1,Economy
29.95,Morning,Weekday,2.0,Medium,Clear,4.24,0.7,0.24,98.23,48.780199999999994,1.628721202003339,1,0,1,0.94,1,Standard
34.2,Afternoon,Weekday,1.0,Low,Clear,4.55,1.02,0.41,113.92,86.1412,2.5187485380116956,0,0,0,1.43,1,Premium
1.81,Night,Weekday,1.0,Low,Rain,2.86,1.71,0.32,20.63,12.5567,6.937403314917127,0,0,0,2.03,1,Economy
26.09,Afternoon,Weekday,4.0,Medium,Rain,3.92,0.87,0.45,62.23,54.62179999999999,2.093591414334994,0,0,1,1.32,0,Standard
12.1,Morning,Weekend,2.4768421052631577,Low,Clear,3.502989473684211,0.59,0.31,62.11811578947369,29.89860536842105,1.592090909090909,1,1,0,0.8999999999999999,1,Economy
32.61,Afternoon,Weekday,1.0,Medium,Clear,3.502989473684211,0.7,0.31,11.91,30.022089473684208,0.9625605642440969,0,0,1,1.01,0,Standard
9.54,Afternoon,Weekend,1.0,Low,Rain,2.1,1.79,0.33,42.43,33.1785,3.4778301886792455,0,1,0,2.12,1,Standard
34.86,Evening,Weekday,4.0,Low,Clear,3.74,1.45,0.4,21.52,62.894999999999996,1.8042168674698797,1,0,0,1.85,0,Premium
19.95,Morning,Weekday,3.0,Low,Clear,2.5,0.88,0.49,62.11811578947369,50.49387673684211,2.850865830862677,1,0,0,1.37,1,Standard
46.9,Evening,Weekday,1.0,High,Clear,4.14,1.33,0.13,66.38,75.1464,1.2126817340236762,1,0,2,1.46,0,Premium
